M9	M9 minimal medium	ca2	Ca2+
M9	M9 minimal medium	cl	Cl-
M9	M9 minimal medium	cobalt2	Co2+
M9	M9 minimal medium	cu2	Cu2+
M9	M9 minimal medium	fe2	Fe2+
M9	M9 minimal medium	fe3	Fe3+
M9	M9 minimal medium	h2o	H2O
M9	M9 minimal medium	h	H+
M9	M9 minimal medium	k	K+
M9	M9 minimal medium	mg2	Mg
M9	M9 minimal medium	mn2	Mn2+
M9	M9 minimal medium	mobd	Molybdate
M9	M9 minimal medium	na1	Na+
M9	M9 minimal medium	nh4	Ammonium
M9	M9 minimal medium	ni2	Ni2+
M9	M9 minimal medium	o2	O2
M9	M9 minimal medium	pi	Phosphate
M9	M9 minimal medium	so4	Sulfate
M9	M9 minimal medium	zn2	Zn2+